threshold,Architecture,axial_symmetry_mean,n_components_abs_distance_from_real,largest_component_ratio_abs_distance_from_real,small_fragment_count_abs_distance_from_real
0.45,DCGAN,0.8289228683312735,0.3516513026052106,0.0005072312485847608,0.14891249164996712
0.45,WGAN-GP,0.8622494530280432,0.8916820307281226,0.01184155179104418,1.0044208416833666
0.5,DCGAN,0.829751994172732,0.5006960587842357,0.004968359039225212,0.5486145624582499
0.5,WGAN-GP,0.8631796051661174,1.1826960587842352,0.016427331479805574,1.2066145624582498
0.55,DCGAN,0.8313030478556951,0.2188136272545096,0.009263165888782954,0.5411182364729459
0.55,WGAN-GP,0.8651987772782643,0.31651970607882385,0.020894873472208864,0.05021509686038761
0.6,DCGAN,0.8337899216016132,0.9136366065464268,0.007557175599603783,1.2565370741482964
0.6,WGAN-GP,0.868626762787501,0.77696993987976,0.0218785870380529,0.9652037408149632
0.65,DCGAN,0.8376445705890655,1.871731462925852,0.008156500556058877,1.4505290581162325
0.65,WGAN-GP,0.8740421321789423,2.020398129592518,0.006163612525815876,1.8131957247828996
