Architecture,N_seeds,LPIPS_NN_mean,LPIPS_NN_between_seed_SD,mean_of_seed_minima_x,SD_of_seed_minima_x,Inception_NN_mean,Inception_NN_between_seed_SD,mean_of_seed_minima_y,SD_of_seed_minima_y
DCGAN,3,0.21787326556940875,0.016222277617200548,0.11885375529527664,0.013951793255515117,0.35258913,0.013302032835781574,0.24572004874547324,0.024970176225839875
WGAN-GP,3,0.1971845526744922,0.006787523022024069,0.10099367052316666,0.013217118334953482,0.3237717,0.01289929635822773,0.2083808183670044,0.014310614423625216
