Architecture,N seeds,n_components mean,n_components between-seed SD,largest_component_ratio mean,largest_component_ratio between-seed SD,small_fragment_count mean,small_fragment_count between-seed SD,foreground_fraction mean,foreground_fraction between-seed SD
DCGAN,3,4.312,0.6024084992760312,0.9418612966797185,0.0024600521873749358,1.982,0.49671319692554966,0.6718015950520834,0.01168470827035297
WGAN-GP,3,3.776666666666667,0.43070794435827797,0.9534930042631444,0.0033696445117427465,1.3906666666666665,0.3330665599145812,0.6701710611979167,0.0035654449448633127
