epoch,lossD,lossG,D_real_mean,D_fake_mean,symmetry_fixed25
1,0.26268887519836426,2.1500089168548584,1.640546441078186,-2.18178391456604,0.963916015625
2,0.5839969515800476,0.36767706274986267,-0.6546704173088074,-4.208627700805664,0.900498046875
3,0.2784481644630432,2.501281261444092,1.6298824548721313,-1.7896889448165894,0.8760986328125
4,0.8969520926475525,1.4148536920547485,3.816317319869995,1.0035253763198853,0.8515087890625
5,0.45361366868019104,2.3277385234832764,1.352532982826233,-0.5265680551528931,0.85318359375
6,0.5509448051452637,0.6407757997512817,-0.5642622709274292,-3.239400625228882,0.786806640625
7,0.34018707275390625,2.7947332859039307,1.4187946319580078,-1.9282413721084595,0.8737109375
8,0.3888862431049347,2.116248369216919,1.3190947771072388,-1.4727978706359863,0.678310546875
9,0.8192070126533508,0.9697502851486206,1.592782974243164,0.8398576378822327,0.8832275390625
10,0.6130627989768982,0.9672501683235168,0.07947210222482681,-0.34861862659454346,0.9694580078125
11,0.9777771830558777,0.5652629733085632,-1.427461862564087,-1.2044073343276978,0.9239599609375
12,0.6222270727157593,0.8259186744689941,-0.15629154443740845,-0.5413535833358765,0.8321240234375
13,0.6534810662269592,0.8545178771018982,-0.10111343860626221,-0.28780409693717957,0.839423828125
14,0.6523045301437378,0.9204177856445312,-0.12483230978250504,-0.31161075830459595,0.6834765625
15,0.7204196453094482,0.538158655166626,-0.8432995676994324,-1.0414906740188599,0.6760546875
16,0.656752347946167,1.2243889570236206,0.07396409660577774,-0.11089430749416351,0.667666015625
17,0.6746091246604919,0.6215084791183472,-0.6519052982330322,-0.953001856803894,0.6978515625
18,0.6867289543151855,0.7532006502151489,-0.1465913951396942,-0.1821364015340805,0.763310546875
19,0.6706752181053162,0.8239523768424988,-0.10897323489189148,-0.2144325077533722,0.736240234375
20,0.6604365110397339,0.7351958751678467,-0.22140280902385712,-0.3853279948234558,0.7325927734375
21,0.6745823621749878,0.7744359970092773,-0.38007327914237976,-0.5490263104438782,0.7214111328125
22,0.6591331958770752,0.9665955305099487,-0.10026077926158905,-0.2784186005592346,0.7059619140625
23,0.6620515584945679,0.7940214276313782,-0.12419652938842773,-0.29580527544021606,0.752998046875
24,0.6581416130065918,1.3484134674072266,0.2618190348148346,-0.0029311743564903736,0.7195556640625
25,0.6940387487411499,0.8272417783737183,-0.5433056354522705,-0.6805184483528137,0.737548828125
26,0.640519380569458,0.9754814505577087,0.004957045894116163,-0.2798379957675934,0.750205078125
27,0.6510770916938782,0.9633068442344666,4.447789615369402e-05,-0.21461905539035797,0.7150634765625
28,0.6720033884048462,0.8670764565467834,0.05802978575229645,-0.0828261598944664,0.7490478515625
29,0.6684953570365906,0.7834184765815735,-0.38004186749458313,-0.5827294588088989,0.7277783203125
30,0.6584165096282959,1.0682103633880615,0.21919886767864227,-0.019007807597517967,0.717333984375
31,0.6386420726776123,0.7403537034988403,-0.2205256223678589,-0.5521692633628845,0.7344482421875
32,0.6529991626739502,0.7315356135368347,-0.5555607080459595,-1.0194053649902344,0.7530078125
33,0.6772910356521606,0.7512661218643188,-0.4565383195877075,-0.675010085105896,0.76099609375
34,0.6728060245513916,0.8181641101837158,-0.11673593521118164,-0.24148161709308624,0.7484814453125
35,0.6161181926727295,0.8999273777008057,-0.06693723052740097,-0.503978967666626,0.736484375
36,0.6355891823768616,0.7564056515693665,-0.4024730324745178,-0.8214854001998901,0.731904296875
37,0.6085120439529419,0.8435222506523132,-0.0751517117023468,-0.546453058719635,0.743603515625
38,0.6214399337768555,0.9455795288085938,0.005001029931008816,-0.36895766854286194,0.7557421875
39,0.5996032953262329,1.0328350067138672,0.09233006089925766,-0.41463127732276917,0.75099609375
40,0.696164071559906,1.1830757856369019,0.6236329078674316,0.28667452931404114,0.723818359375
41,0.6193267703056335,1.0008245706558228,0.12597748637199402,-0.31013214588165283,0.7145263671875
42,0.6983721256256104,0.6352962255477905,-0.8681734204292297,-1.5115203857421875,0.7406005859375
43,0.6336175799369812,0.7897244691848755,-0.3657388687133789,-0.9379039406776428,0.7288134765625
44,0.5838085412979126,0.9659483432769775,0.14264589548110962,-0.49157530069351196,0.742060546875
